2025-05-28 17:41:12.528 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-05-28 17:41:12.528 [main] INFO  com.example.AimatchApplication - Starting AimatchApplication using Java 11.0.22 on wk with PID 18620 (C:\Users\wk794\IdeaProjects\aimatch\target\classes started by wk794 in C:\Users\wk794\IdeaProjects\aimatch)
2025-05-28 17:41:12.528 [main] DEBUG com.example.AimatchApplication - Running with Spring Boot v2.7.15, Spring v5.3.29
2025-05-28 17:41:12.528 [main] INFO  com.example.AimatchApplication - No active profile set, falling back to 1 default profile: "default"
2025-05-28 17:41:12.910 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-05-28 17:41:12.912 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-05-28 17:41:12.926 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2025-05-28 17:41:13.258 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-05-28 17:41:13.262 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-05-28 17:41:13.262 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-05-28 17:41:13.262 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.79]
2025-05-28 17:41:13.336 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-05-28 17:41:13.336 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 780 ms
2025-05-28 17:41:14.376 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-05-28 17:41:14.389 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-05-28 17:41:14.398 [main] INFO  com.example.AimatchApplication - Started AimatchApplication in 2.189 seconds (JVM running for 2.879)
