2025-08-20 09:13:57.517 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:13:57.858 [lettuce-nioEventLoop-4-10] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: Network is unreachable: no further information: /192.168.64.128:6379
io.netty.channel.AbstractChannel$AnnotatedSocketException: Network is unreachable: no further information: /192.168.64.128:6379
Caused by: java.net.SocketException: Network is unreachable: no further information
	at sun.nio.ch.SocketChannelImpl.checkConnect(Native Method)
	at sun.nio.ch.SocketChannelImpl.finishConnect(SocketChannelImpl.java:717)
	at io.netty.channel.socket.nio.NioSocketChannel.doFinishConnect(NioSocketChannel.java:337)
	at io.netty.channel.nio.AbstractNioChannel$AbstractNioUnsafe.finishConnect(AbstractNioChannel.java:334)
	at io.netty.channel.nio.NioEventLoop.processSelectedKey(NioEventLoop.java:776)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeysOptimized(NioEventLoop.java:724)
	at io.netty.channel.nio.NioEventLoop.processSelectedKeys(NioEventLoop.java:650)
	at io.netty.channel.nio.NioEventLoop.run(NioEventLoop.java:562)
	at io.netty.util.concurrent.SingleThreadEventExecutor$4.run(SingleThreadEventExecutor.java:997)
	at io.netty.util.internal.ThreadExecutorMap$2.run(ThreadExecutorMap.java:74)
	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)
	at java.lang.Thread.run(Thread.java:748)
2025-08-20 09:14:17.550 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=15h42m34s764ms662µs400ns).
2025-08-20 09:14:27.888 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:14:37.890 [lettuce-nioEventLoop-4-11] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:15:09.487 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:15:19.504 [lettuce-nioEventLoop-4-12] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:15:49.588 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:15:59.604 [lettuce-nioEventLoop-4-13] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:16:29.689 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:16:39.704 [lettuce-nioEventLoop-4-14] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:17:09.786 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:17:19.789 [lettuce-nioEventLoop-4-15] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:17:49.886 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:17:59.903 [lettuce-nioEventLoop-4-16] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:18:29.985 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:18:40.002 [lettuce-nioEventLoop-4-1] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:19:10.085 [lettuce-eventExecutorLoop-1-8] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:19:20.101 [lettuce-nioEventLoop-4-2] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:19:50.183 [lettuce-eventExecutorLoop-1-10] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:20:00.199 [lettuce-nioEventLoop-4-3] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:20:30.284 [lettuce-eventExecutorLoop-1-12] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:20:40.300 [lettuce-nioEventLoop-4-4] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:21:10.383 [lettuce-eventExecutorLoop-1-14] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:21:20.399 [lettuce-nioEventLoop-4-5] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:21:50.482 [lettuce-eventExecutorLoop-1-16] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:22:00.499 [lettuce-nioEventLoop-4-6] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:22:30.581 [lettuce-eventExecutorLoop-1-2] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:22:40.584 [lettuce-nioEventLoop-4-7] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:23:10.681 [lettuce-eventExecutorLoop-1-4] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:23:20.697 [lettuce-nioEventLoop-4-8] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
2025-08-20 09:23:50.780 [lettuce-eventExecutorLoop-1-6] INFO  i.l.core.protocol.ConnectionWatchdog - Reconnecting, last destination was 192.168.64.128:6379
2025-08-20 09:24:00.796 [lettuce-nioEventLoop-4-9] WARN  i.l.core.protocol.ConnectionWatchdog - Cannot reconnect to [192.168.64.128:6379]: connection timed out: /192.168.64.128:6379
